Date,Year,Month,Day_of_Week,Total_Registered,Academic_Status,Semester_Phase,Exam_Pressure,Is_Veg_Special,Is_NonVeg,Menu_Score,Temp_Max,Rain_mm,Target_Breakfast,Target_Lunch,Target_Dinner,Lag_1_Dinner,Lag_7_Dinner,Rolling_Avg_3Day,Cos_Month,Sin_Month
2020-01-01,2020,1,2,500,Regular,Start,0.0,0,0,1.0,14.7,0.0,226,320,377,377.0,377.0,396.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-02,2020,1,3,500,Regular,Start,0.0,1,0,1.05,17.8,0.0,230,326,384,377.0,377.0,396.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-03,2020,1,4,500,Regular,Start,0.0,1,1,1.15,14.8,0.0,257,364,429,384.0,377.0,396.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-04,2020,1,5,500,Regular,Start,0.0,0,0,1.05,11.4,0.0,163,368,409,429.0,377.0,407.3333333333333,0.8660254037844387,0.49999999999999994
2020-01-05,2020,1,6,500,Regular,Start,0.0,1,1,1.2,18.1,0.0,173,390,434,409.0,377.0,424.0,0.8660254037844387,0.49999999999999994
2020-01-06,2020,1,0,500,Regular,Start,0.0,1,1,1.1,17.7,0.0,247,351,413,434.0,377.0,418.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-07,2020,1,1,500,Regular,Start,0.0,0,0,0.85,17.0,0.0,185,262,309,413.0,377.0,385.3333333333333,0.8660254037844387,0.49999999999999994
2020-01-08,2020,1,2,500,Regular,Start,0.0,0,0,1.0,14.4,0.0,228,323,380,309.0,377.0,367.3333333333333,0.8660254037844387,0.49999999999999994
2020-01-09,2020,1,3,500,Regular,Start,0.0,1,0,1.05,18.1,0.0,225,318,375,380.0,384.0,354.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-10,2020,1,4,500,Regular,Start,0.0,1,1,1.15,14.2,0.0,258,366,431,375.0,429.0,395.3333333333333,0.8660254037844387,0.49999999999999994
2020-01-11,2020,1,5,500,Regular,Start,0.0,0,0,1.05,13.5,0.0,150,337,375,431.0,409.0,393.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-12,2020,1,6,500,Regular,Start,0.0,1,1,1.2,16.6,0.0,174,391,435,375.0,434.0,413.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-13,2020,1,0,500,Regular,Start,0.0,1,1,1.1,11.6,0.0,256,363,428,435.0,413.0,412.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-14,2020,1,1,500,Regular,Start,0.0,0,0,0.85,11.8,0.0,187,266,313,428.0,309.0,392.0,0.8660254037844387,0.49999999999999994
2020-01-15,2020,1,2,500,Regular,Start,0.0,0,0,1.0,11.0,0.0,235,333,392,313.0,380.0,377.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-16,2020,1,3,500,Regular,Start,0.0,1,0,1.05,17.4,0.0,224,317,374,392.0,375.0,359.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-17,2020,1,4,500,Regular,Start,0.0,1,1,1.15,17.1,0.0,258,365,430,374.0,431.0,398.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-18,2020,1,5,500,Regular,Start,0.0,0,0,1.05,18.4,0.0,160,361,402,430.0,375.0,402.0,0.8660254037844387,0.49999999999999994
2020-01-19,2020,1,6,500,Regular,Start,0.0,1,1,1.2,18.7,0.0,177,398,443,402.0,435.0,425.0,0.8660254037844387,0.49999999999999994
2020-01-20,2020,1,0,500,Regular,Start,0.0,1,1,1.1,16.4,0.0,253,359,423,443.0,428.0,422.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-21,2020,1,1,500,Regular,Start,0.0,0,0,0.85,12.5,0.0,199,282,332,423.0,313.0,399.3333333333333,0.8660254037844387,0.49999999999999994
2020-01-22,2020,1,2,500,Regular,Start,0.0,0,0,1.0,14.2,0.0,217,307,362,332.0,392.0,372.3333333333333,0.8660254037844387,0.49999999999999994
2020-01-23,2020,1,3,500,Regular,Start,0.0,1,0,1.05,15.9,0.0,231,328,386,362.0,374.0,360.0,0.8660254037844387,0.49999999999999994
2020-01-24,2020,1,4,500,Regular,Start,0.0,1,1,1.15,15.9,0.0,261,369,435,386.0,430.0,394.3333333333333,0.8660254037844387,0.49999999999999994
2020-01-25,2020,1,5,500,Flight_Risk,Start,0.0,0,0,1.05,13.5,0.0,107,242,269,435.0,402.0,363.3333333333333,0.8660254037844387,0.49999999999999994
2020-01-26,2020,1,6,500,Holiday,Start,0.0,1,1,1.2,13.4,0.0,17,39,44,269.0,443.0,249.33333333333334,0.8660254037844387,0.49999999999999994
2020-01-27,2020,1,0,500,Regular,Start,0.0,1,1,1.1,15.0,0.0,238,338,398,44.0,423.0,237.0,0.8660254037844387,0.49999999999999994
2020-01-28,2020,1,1,500,Regular,Start,0.0,0,0,0.85,11.6,0.0,198,280,330,398.0,332.0,257.3333333333333,0.8660254037844387,0.49999999999999994
2020-01-29,2020,1,2,500,Regular,Start,0.0,0,0,1.0,16.8,0.0,232,328,387,330.0,362.0,371.6666666666667,0.8660254037844387,0.49999999999999994
2020-01-30,2020,1,3,500,Regular,Start,0.0,1,0,1.05,11.7,0.0,240,340,400,387.0,386.0,372.3333333333333,0.8660254037844387,0.49999999999999994
2020-01-31,2020,1,4,500,Regular,Start,0.0,1,1,1.15,16.0,4.3,266,377,444,400.0,435.0,410.3333333333333,0.8660254037844387,0.49999999999999994
2020-02-01,2020,2,5,500,Regular,Mid,0.0,0,0,1.05,15.2,0.0,158,357,397,444.0,269.0,413.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-02,2020,2,6,500,Regular,Mid,0.0,1,1,1.2,16.1,0.0,176,397,442,397.0,44.0,427.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-03,2020,2,0,500,Regular,Mid,0.0,1,1,1.1,14.7,0.0,236,334,394,442.0,398.0,411.0,0.5000000000000001,0.8660254037844386
2020-02-04,2020,2,1,500,Regular,Mid,0.0,0,0,0.85,20.1,0.0,189,267,315,394.0,330.0,383.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-05,2020,2,2,500,Regular,Mid,0.0,0,0,1.0,13.1,8.8,228,323,380,315.0,387.0,363.0,0.5000000000000001,0.8660254037844386
2020-02-06,2020,2,3,500,Regular,Mid,0.0,1,0,1.05,17.3,0.0,229,325,383,380.0,400.0,359.3333333333333,0.5000000000000001,0.8660254037844386
2020-02-07,2020,2,4,500,Regular,Mid,0.0,1,1,1.15,13.7,0.0,252,357,421,383.0,444.0,394.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-08,2020,2,5,500,Regular,Mid,0.0,0,0,1.05,16.6,0.0,164,369,411,421.0,397.0,405.0,0.5000000000000001,0.8660254037844386
2020-02-09,2020,2,6,500,Regular,Mid,0.0,1,1,1.2,15.0,0.0,185,417,464,411.0,442.0,432.0,0.5000000000000001,0.8660254037844386
2020-02-10,2020,2,0,500,Regular,Mid,0.0,1,1,1.1,15.1,0.0,235,333,392,464.0,394.0,422.3333333333333,0.5000000000000001,0.8660254037844386
2020-02-11,2020,2,1,500,Regular,Mid,0.0,0,0,0.85,20.5,0.0,189,268,316,392.0,315.0,390.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-12,2020,2,2,500,Regular,Mid,0.0,0,0,1.0,14.1,0.0,220,312,368,316.0,380.0,358.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-13,2020,2,3,500,Regular,Mid,0.0,1,0,1.05,13.0,0.0,240,340,401,368.0,383.0,361.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-14,2020,2,4,500,Regular,Mid,0.0,1,1,1.15,14.2,0.0,249,353,416,401.0,421.0,395.0,0.5000000000000001,0.8660254037844386
2020-02-15,2020,2,5,500,Regular,Mid,0.0,0,0,1.05,16.2,0.0,155,349,388,416.0,411.0,401.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-16,2020,2,6,500,Regular,Mid,0.0,1,1,1.2,20.1,0.0,185,417,464,388.0,464.0,422.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-17,2020,2,0,500,Regular,Mid,0.0,1,1,1.1,20.8,0.0,255,361,425,464.0,392.0,425.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-18,2020,2,1,500,Regular,Mid,0.0,0,0,0.85,18.6,0.0,200,283,334,425.0,316.0,407.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-19,2020,2,2,500,Regular,Mid,0.0,0,0,1.0,14.4,0.0,216,306,360,334.0,368.0,373.0,0.5000000000000001,0.8660254037844386
2020-02-20,2020,2,3,500,Regular,Mid,0.0,1,0,1.05,20.1,0.0,232,329,388,360.0,401.0,360.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-21,2020,2,4,500,Regular,Mid,0.0,1,1,1.15,16.3,0.0,260,368,434,388.0,416.0,394.0,0.5000000000000001,0.8660254037844386
2020-02-22,2020,2,5,500,Regular,Mid,0.0,0,0,1.05,13.3,0.0,159,359,399,434.0,388.0,407.0,0.5000000000000001,0.8660254037844386
2020-02-23,2020,2,6,500,Regular,Mid,0.0,1,1,1.2,20.9,0.0,186,420,467,399.0,464.0,433.3333333333333,0.5000000000000001,0.8660254037844386
2020-02-24,2020,2,0,500,Regular,Mid,0.0,1,1,1.1,18.0,0.0,244,346,408,467.0,425.0,424.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-25,2020,2,1,500,Regular,Mid,0.0,0,0,0.85,15.0,0.0,199,282,332,408.0,334.0,402.3333333333333,0.5000000000000001,0.8660254037844386
2020-02-26,2020,2,2,500,Regular,Mid,0.0,0,0,1.0,20.8,0.0,217,308,363,332.0,360.0,367.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-27,2020,2,3,500,Regular,Mid,0.0,1,0,1.05,18.2,0.0,232,328,387,363.0,388.0,360.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-28,2020,2,4,500,Regular,Mid,0.0,1,1,1.15,20.4,0.0,246,348,410,387.0,434.0,386.6666666666667,0.5000000000000001,0.8660254037844386
2020-02-29,2020,2,5,500,Regular,Mid,0.0,0,0,1.05,17.4,0.0,150,339,377,410.0,399.0,391.3333333333333,0.5000000000000001,0.8660254037844386
2020-03-01,2020,3,6,500,Regular,Mid,0.0,1,1,1.2,23.6,0.0,170,384,427,377.0,467.0,404.6666666666667,6.123233995736766e-17,1.0
2020-03-02,2020,3,0,500,Regular,Mid,0.0,1,1,1.1,25.9,0.0,256,363,428,427.0,408.0,410.6666666666667,6.123233995736766e-17,1.0
2020-03-03,2020,3,1,500,Exam,Mid,1.0,0,0,0.85,23.4,0.0,267,303,357,428.0,332.0,404.0,6.123233995736766e-17,1.0
2020-03-04,2020,3,2,500,Exam,Mid,1.0,0,0,1.0,19.2,0.0,327,371,437,357.0,363.0,407.3333333333333,6.123233995736766e-17,1.0
2020-03-05,2020,3,3,500,Exam,Mid,1.0,1,0,1.05,25.8,0.0,346,392,462,437.0,387.0,418.6666666666667,6.123233995736766e-17,1.0
2020-03-06,2020,3,4,500,Exam,Mid,1.0,1,1,1.15,23.4,0.0,375,425,500,462.0,410.0,466.3333333333333,6.123233995736766e-17,1.0
2020-03-07,2020,3,5,500,Exam,Mid,1.0,0,0,1.05,18.9,0.0,331,397,442,500.0,377.0,468.0,6.123233995736766e-17,1.0
2020-03-08,2020,3,6,500,Exam,Mid,1.0,1,1,1.2,24.0,0.0,375,450,500,442.0,427.0,480.6666666666667,6.123233995736766e-17,1.0
2020-03-09,2020,3,0,500,Exam,Mid,1.0,1,1,1.1,20.2,0.0,360,408,480,500.0,428.0,474.0,6.123233995736766e-17,1.0
2020-03-10,2020,3,1,500,Exam,Mid,1.0,0,0,0.85,22.2,0.0,284,322,379,480.0,357.0,453.0,6.123233995736766e-17,1.0
